LocationID,GymChain,GymName,Address,CountyName,Latitude,Longitude,Rating,ReviewCount
ChIJx1_iM1ym2YgRnj_jYcdguYA,LA Fitness,LA Fitness,"1900 N Flamingo Rd, Pembroke Pines, FL 33028",Broward County,26.0260635,-80.3149562,3.8,890
ChIJx79FynCp2YgRZKYWQxhsojg,LA Fitness,LA Fitness,"5591 Sheridan St, Hollywood, FL 33021",Broward County,26.0345328,-80.1988276,3.6,1421
ChIJBWSYZuir2YgRyXL4r1xS7oE,Orangetheory Fitness,Orangetheory Fitness,"3251 Hollywood Blvd, Hollywood, FL 33021",Broward County,26.0139963,-80.1748032,4.7,424
ChIJI0i6HqKm2YgRtLVZZX89Kvs,Orangetheory Fitness,Orangetheory Fitness,"14918 Pines Blvd, Pembroke Pines, FL 33027",Broward County,26.0062981,-80.3481064,4.6,154
ChIJPz_rSK2n2YgReOFao8pnYsQ,Orangetheory Fitness,Orangetheory Fitness,"5874 S Flamingo Rd, Cooper City, FL 33330",Broward County,26.0450862,-80.3119747,4.9,261
ChIJQ2nUZvgJ2YgRovtgLYeXwX8,Orangetheory Fitness,Orangetheory Fitness,"1132 Weston Rd, Weston, FL 33326",Broward County,26.1052901,-80.3630158,4.6,178
ChIJRWESZXYQ2YgRnlMG62ZWa7o,Orangetheory Fitness,Orangetheory Fitness,"6230 Coral Ridge Dr, Coral Springs, FL 33076",Broward County,26.3073174,-80.2802598,4.7,135
ChIJT-CM5qfi2IgRc5iMlHfbhxs,Orangetheory Fitness,Orangetheory Fitness,"1700 NE 23rd St, Pompano Beach, FL 33062",Broward County,26.258644,-80.1021696,4.8,137
ChIJTWkKumgA2YgRt0Z4M84jSiE,Orangetheory Fitness,Orangetheory Fitness,"1835 Cordova Rd, Fort Lauderdale, FL 33316",Broward County,26.09816,-80.131478,4.8,199
ChIJfaASTDwC2YgRWfIMZP2fYUA,Orangetheory Fitness,Orangetheory Fitness,"1759 E Commercial Blvd, Fort Lauderdale, FL 33334",Broward County,26.1902132,-80.1231266,4.6,217
ChIJfytPjnwI2YgRcFW8llJA42k,Orangetheory Fitness,Orangetheory Fitness,"10073 Cleary Blvd, Plantation, FL 33324",Broward County,26.1350441,-80.2842272,4.7,298
ChIJh8VKn-sB2YgRIIK4loIa1Uc,Orangetheory Fitness,Orangetheory Fitness,"2354 N Federal Hwy, Fort Lauderdale, FL 33305",Broward County,26.1542421,-80.1173627,4.7,184
ChIJv-BLh8il2YgREMQgT_ABPVw,Orangetheory Fitness,Orangetheory Fitness,"12316 Miramar Pkwy, Miramar, FL 33025",Broward County,25.9781529,-80.3104334,4.6,208
ChIJweSXjKcc2YgRfinNKsm93yg,Orangetheory Fitness,Orangetheory Fitness,"4449 Lyons Rd J - 103, Coconut Creek, FL 33073",Broward County,26.284572,-80.1870431,4.9,239
ChIJB6n2oYAc2YgRyhLWJgAPo0M,Planet Fitness,Planet Fitness,"4291 W Hillsboro Blvd, Coconut Creek, FL 33073",Broward County,26.31885,-80.18411,4.3,1202
ChIJHco8sxkb2YgRROpeQCG5t2I,Planet Fitness,Planet Fitness,"9535 Westview Dr, Coral Springs, FL 33076",Broward County,26.30019,-80.2519,4.4,197
ChIJJdwpGzoG2YgRmrU6y8P2TeU,Planet Fitness,Planet Fitness,"8219 W Sunrise Blvd, Plantation, FL 33322",Broward County,26.1496644,-80.2602105,4.5,1297
ChIJKVGz3p4E2YgRjczer8QY9eY,Planet Fitness,Planet Fitness,"4911 Coconut Creek Pkwy, Coconut Creek, FL 33063",Broward County,26.24638,-80.19049,4.4,938
ChIJRTHasQYB2YgRYI1mZxVxH-E,Planet Fitness,Planet Fitness,"110 SE 6th St, Fort Lauderdale, FL 33301",Broward County,26.1141099,-80.1418989,4.6,109
ChIJSyyDJsMF2YgRW5NxYJ7-LLs,Planet Fitness,Planet Fitness,"7501 NW 57th St, Tamarac, FL 33319",Broward County,26.1961345,-80.250865,4.3,1352
ChIJWyDfY9AA2YgRR8n8diUMCuk,Planet Fitness,Planet Fitness,"2670 W Broward Blvd, Fort Lauderdale, FL 33312",Broward County,26.1191269,-80.1776001,4.4,1985
ChIJZ7Cha8al2YgRCia7nAj_pXc,Planet Fitness,Planet Fitness,"12531 Miramar Pkwy, Miramar, FL 33027",Broward County,25.9804968,-80.3135123,4.7,1012
ChIJg-XNbR6m2YgR0KUCSfd_wrM,Planet Fitness,Planet Fitness,"9930 Johnson St, Pembroke Pines, FL 33024",Broward County,26.0148929,-80.2777379,4.4,1305
ChIJhzJQ7lAB2YgRa78bFUZLmc4,Planet Fitness,Planet Fitness,"3600 N Federal Hwy, Fort Lauderdale, FL 33308",Broward County,26.1721389,-80.1189114,4.6,1725
ChIJlTZuQKUD2YgRxR0bq7_b2dM,Planet Fitness,Planet Fitness Plaza,"Palm Plaza, 1400-1440 S Pompano Pkwy #1436, Pompano Beach, FL 33069",Broward County,26.2123636,-80.1550381,4.4,269
ChIJp390PaUD2YgR-NeRk3S4uAc,Planet Fitness,Planet Fitness,"1434 Powerline Rd, Pompano Beach, FL 33069",Broward County,26.21199,-80.15435,4.4,1409
ChIJsWMtbk8H2YgRDOScQuB-j2o,Planet Fitness,Planet Fitness,"2629 N State Rd 7, Lauderhill, FL 33313",Broward County,26.1599228,-80.2037696,4.6,997
ChIJsYPKkPWn2YgRZQQTwE3EIDc,Planet Fitness,Planet Fitness,"14802 Pines Blvd, Pembroke Pines, FL 33027",Broward County,26.0067451,-80.3449134,4.6,1142
ChIJuYcpaP8H2YgR-6a8wi8joCA,Planet Fitness,Planet fitness,"2310 S University Dr, Davie, FL 33324",Broward County,26.0911634,-80.249513,4.4,658
ChIJ6ypkXQAF2YgRT6gJ8duFsj8,YouFit,you fit,"8301 W Atlantic Blvd, Coral Springs, FL 33071",Broward County,26.2363514,-80.2353229,,0
ChIJ707Rr1gc2YgRks2142GhYUs,YouFit,YouFit Gyms Deerfield Beach,"4032 W Hillsboro Blvd, Deerfield Beach, FL 33442",Broward County,26.317151,-80.1592975,4.7,1859
ChIJ8WZ5Rg6m2YgRoxbb00WulqU,YouFit,YouFit Gyms Pembroke Pines on Pines,"10840 Pines Blvd, Pembroke Pines, FL 33026",Broward County,26.0058283,-80.2921414,4.3,1074
ChIJI_B5Jaji2IgRO_tozPOj6jQ,YouFit,YouFit Gyms North Pompano,"3555 N Federal Hwy, Pompano Beach, FL 33064",Broward County,26.2747687,-80.1001778,4.1,480
ChIJJzCCcYMC2YgRZCPsJryWEFo,YouFit,YouFit Gyms South Pompano,"401 S Federal Hwy, Pompano Beach, FL 33062",Broward County,26.228488,-80.1042487,4.4,724
ChIJUxBpdrAG2YgRZGtBl6FWLf0,YouFit,YouFit Gyms Lauderdale Lakes,"3708 W Oakland Park Blvd, Lauderdale Lakes, FL 33311",Broward County,26.1638593,-80.1988167,4.2,371
ChIJY_Y0x0uq2YgRzLjUELx7Wzk,YouFit,YouFit Gyms Hollywood,"3120 Oakwood Blvd, Hollywood, FL 33020",Broward County,26.0401361,-80.1613804,4.2,908
ChIJafODHsWr2YgRIZqMrQMLsJE,YouFit,YouFit Gyms Dania Beach,"140 S Compass Wy, Dania Beach, FL 33004",Broward County,26.0500675,-80.1567556,4.1,1084
ChIJawY7HjkG2YgRKIFd1xhpKQI,YouFit,YouFit Gyms Sunrise,"2101 N University Dr, Sunrise, FL 33322",Broward County,26.1517766,-80.2583152,4.1,702
ChIJc6E4z5mo2YgR83-Xfp-L0tg,YouFit,YouFit Gyms Pembroke Pines Taft,"9057 Taft St, Pembroke Pines, FL 33024",Broward County,26.023803,-80.26636,4.2,639
ChIJmQaaJsUD2YgRqm1EorPMmuM,YouFit,YouFit Gyms Oakland Park,"959 E Commercial Blvd, Oakland Park, FL 33334",Broward County,26.1905048,-80.135779,4.1,867
ChIJmSCKDBMd2YgRz8QNNG8ZFyI,YouFit,YouFit Gyms Corporate Office,"4032 W Hillsboro Blvd, Deerfield Beach, FL 33442",Broward County,26.317151,-80.159099,1.4,115
ChIJqUx-trME2YgRzWqy7F1DuaA,YouFit,YouFit Gyms Margate,"3133 N State Rd 7, Margate, FL 33063",Broward County,26.2681259,-80.2035155,4.4,602
ChIJqbIf3uQH2YgR9lZZmeOSLj4,YouFit,YouFit Gyms Davie,"8948 W State Rd 84, Davie, FL 33324",Broward County,26.101656,-80.2689177,4.4,804
ChIJrXAT-UgE2YgR6pjbjD9va2g,YouFit,YouFit Gyms North Lauderdale,"7346 W McNab Rd, North Lauderdale, FL 33068",Broward County,26.2076239,-80.2235741,4.4,839
ChIJxe23vwMF2YgRSMW32kM7F5k,YouFit,YouFit Gyms Coral Springs,"8301 W Atlantic Blvd, Coral Springs, FL 33071",Broward County,26.2364788,-80.2349243,4.3,513
ChIJy6dOBvsJ2YgRd3Lq6ZQXg_0,YouFit,YouFit Gyms Weston,"15451 SW 13 Ln, Sunrise, FL 33326",Broward County,26.1041454,-80.3573854,4.1,668
ChIJzz42Xpeo2YgRZqvItcgkfHw,YouFit,Youfit Plaza,"9021 Taft St, Pembroke Pines, FL 33024",Broward County,26.0237903,-80.2662506,4.4,87
ChIJYzEGmJao3IgRCUcHjiU1eks,Planet Fitness,Planet Fitness,"24123 Peachland Blvd, Port Charlotte, FL 33954",Charlotte County,27.0156206,-82.0541477,4.3,1290
ChIJZzz18Tyr3IgRPvbLCRjANAY,Planet Fitness,Planet Fitness,"1825 S Tamiami Trl, Port Charlotte, FL 33948",Charlotte County,27.0046756,-82.1328654,4.5,308
ChIJN-E6Brup3IgRUu3TROXue4Y,YouFit,YouFit Gyms Port Charlotte,"3280 S Tamiami Trl #33, Port Charlotte, FL 33952",Charlotte County,26.9845741,-82.0990974,4.5,657
ChIJj6p0Rs5B6IgRXX3o34s4V2c,Planet Fitness,Planet Fitness,"1641 SE US Hwy 19, Crystal River, FL 34429",Citrus County,28.8832664,-82.5808415,4.4,29
ChIJlexP6N1z6IgRv79ENw8qI6I,Planet Fitness,Planet Fitness,"1660 US-41, Inverness, FL 34450",Citrus County,28.8446099,-82.3437469,4.5,765
ChIJp4ee0cVr6IgRvvKOS-BP_aI,Planet Fitness,Planet Fitness,"3317 W Norvell Bryant Hwy, Lecanto, FL 34461",Citrus County,28.894597,-82.4896618,4.3,22
ChIJo7fygkHE5YgRWU_tnCZJ9Mk,LA Fitness,LA Fitness,"661 Blanding Blvd Ste 800, Orange Park, FL 32073",Clay County,30.1477784,-81.7547264,4.0,443
ChIJgeShwj7F5YgR5a4v6TmSBKA,Orangetheory Fitness,Orangetheory Fitness,"1615 County Rd 220, Fleming Island, FL 32003",Clay County,30.1008758,-81.716128,4.9,146
ChIJ2-OO-oXG5YgRAMLkNBbzumE,Planet Fitness,Planet Fitness,"1980 Wells Rd, Orange Park, FL 32073",Clay County,30.1865286,-81.7412771,4.2,691
ChIJcYua3UHF5YgRSZzMXv1QpWs,Planet Fitness,Planet Fitness,"1514 County Rd 220 Unit 400, Fleming Island, FL 32003",Clay County,30.1042051,-81.7090732,4.1,374
