ClubID,OfficialClubName,OfficialAddress,ZipCode,CountyName,CountyMatchMethod,BaseMonthlyDues,BasicMonthlyDues,BasicInitiationFee,BasicAnnualFee,BasicEffectiveMonthlyCost,MonthlyDuesOptions,InitiationFeeOptions,AnnualFeeOptions,Plans,Status,SourceURL,RetrievedAtUTC,Error
256,Coconut Creek,"5501 Lyons Road, Coconut Creek, FL 33073",33073,Broward County,ZIP-only match,29.99,29.99,0.0,69.0,35.74,"[29.99, 79.0]","[0.0, 199.0, 99.0]",[69.0],"[{""plan_id"": ""Standard"", ""plan"": ""Basic"", ""access"": ""Club of Enrollment"", ""monthly_dues"": 29.99, ""initiation_fee"": 0.0, ""annual_fee"": 69.0, ""effective_monthly_cost"": 35.74}, {""plan_id"": ""Classic"", ""plan"": ""Classic"", ""access"": ""Multi Club; State of Enrollment"", ""monthly_dues"": 79.0, ""initiation_fee"": 199.0, ""annual_fee"": 69.0, ""effective_monthly_cost"": 101.33333333333333}, {""plan_id"": ""Premier"", ""plan"": ""Classic"", ""access"": ""State of Enrollment; Nationwide Access"", ""monthly_dues"": 29.99, ""initiation_fee"": 99.0, ""annual_fee"": 69.0, ""effective_monthly_cost"": 43.99}]",Observed,https://www.lafitness.com/Pages/MembershipSignUpRate.aspx?id=1rlzNfUy%2bYXUzmCGjAD3BQ%3d%3d,2026-09-01T01:55:20.031707+00:00,
9,Coral Springs - University Dr,"2633 University Drive, Coral Springs, FL 33065",33065,Broward County,ZIP-only match,29.99,29.99,0.0,69.0,35.74,"[29.99, 39.99]","[0.0, 99.0]",[69.0],"[{""plan_id"": ""Standard"", ""plan"": ""Basic"", ""access"": ""Club of Enrollment"", ""monthly_dues"": 29.99, ""initiation_fee"": 0.0, ""annual_fee"": 69.0, ""effective_monthly_cost"": 35.74}, {""plan_id"": ""Classic"", ""plan"": ""Classic"", ""access"": ""Nationwide Access"", ""monthly_dues"": 29.99, ""initiation_fee"": 99.0, ""annual_fee"": 69.0, ""effective_monthly_cost"": 43.99}, {""plan_id"": ""Premier"", ""plan"": ""Classic"", ""access"": ""Nationwide Access"", ""monthly_dues"": 39.99, ""initiation_fee"": 0.0, ""annual_fee"": 69.0, ""effective_monthly_cost"": 45.74}]",Observed,https://www.lafitness.com/Pages/MembershipSignUpRate.aspx?id=tGH%2bYqwB7oK6XMB7YuQ20A%3d%3d,2026-09-01T01:55:20.031707+00:00,
235,Deerfield Beach,"1000 East Hillsboro Blvd, Deerfield Beach, FL 33441",33441,Broward County,ZIP-only match,29.99,29.99,0.0,69.0,35.74,"[29.99, 39.99]","[0.0, 99.0]",[69.0],"[{""plan_id"": ""Standard"", ""plan"": ""Basic"", ""access"": ""Club of Enrollment"", ""monthly_dues"": 29.99, ""initiation_fee"": 0.0, ""annual_fee"": 69.0, ""effective_monthly_cost"": 35.74}, {""plan_id"": ""Classic"", ""plan"": ""Classic"", ""access"": ""Nationwide Access"", ""monthly_dues"": 29.99, ""initiation_fee"": 99.0, ""annual_fee"": 69.0, ""effective_monthly_cost"": 43.99}, {""plan_id"": ""Premier"", ""plan"": ""Classic"", ""access"": ""Nationwide Access"", ""monthly_dues"": 39.99, ""initiation_fee"": 0.0, ""annual_fee"": 69.0, ""effective_monthly_cost"": 45.74}]",Observed,https://www.lafitness.com/Pages/MembershipSignUpRate.aspx?id=%2ffwZ%2fHkiPAFD5Z%2bh1gpTEg%3d%3d,2026-09-01T01:55:20.031707+00:00,
1029,Delray Beach,"1660 S Federal Highway, Delray Beach, FL 33483",33483,Palm Beach County,ZIP-only match,29.99,29.99,0.0,69.0,35.74,"[29.99, 39.99]","[0.0, 99.0]",[69.0],"[{""plan_id"": ""Standard"", ""plan"": ""Basic"", ""access"": ""Club of Enrollment"", ""monthly_dues"": 29.99, ""initiation_fee"": 0.0, ""annual_fee"": 69.0, ""effective_monthly_cost"": 35.74}, {""plan_id"": ""Classic"", ""plan"": ""Classic"", ""access"": ""Nationwide Access"", ""monthly_dues"": 29.99, ""initiation_fee"": 99.0, ""annual_fee"": 69.0, ""effective_monthly_cost"": 43.99}, {""plan_id"": ""Premier"", ""plan"": ""Classic"", ""access"": ""Nationwide Access"", ""monthly_dues"": 39.99, ""initiation_fee"": 0.0, ""annual_fee"": 69.0, ""effective_monthly_cost"": 45.74}]",Observed,https://www.lafitness.com/Pages/MembershipSignUpRate.aspx?id=bm9Ocu5oPhJ1lemssBhPzw%3d%3d,2026-09-01T01:55:20.031707+00:00,
1232,Dunedin,"1681 Main St, Dunedin, FL 34698",34698,Pinellas County,Google location address match,29.99,79.0,199.0,69.0,101.33333333333333,"[79.0, 29.99, 39.99]","[199.0, 99.0, 0.0]",[69.0],"[{""plan_id"": ""Standard"", ""plan"": ""Basic"", ""access"": ""Multi Club; State of Enrollment"", ""monthly_dues"": 79.0, ""initiation_fee"": 199.0, ""annual_fee"": 69.0, ""effective_monthly_cost"": 101.33333333333333}, {""plan_id"": ""Classic"", ""plan"": ""Classic"", ""access"": ""Nationwide Access"", ""monthly_dues"": 29.99, ""initiation_fee"": 99.0, ""annual_fee"": 69.0, ""effective_monthly_cost"": 43.99}, {""plan_id"": ""Premier"", ""plan"": ""Classic"", ""access"": ""State of Enrollment; Nationwide Access"", ""monthly_dues"": 39.99, ""initiation_fee"": 0.0, ""annual_fee"": 69.0, ""effective_monthly_cost"": 45.74}]",Observed,https://www.lafitness.com/Pages/MembershipSignUpRate.aspx?id=Y6E1ccHqAOH59JiM7yx7bA%3d%3d,2026-09-01T01:55:20.031707+00:00,
683,FT. Lauderdale - SE 10th Ave.,"1900 SE 10th Ave, Fort Lauderdale, FL 33316",33316,Broward County,Google location address match,29.99,29.99,0.0,69.0,35.74,"[29.99, 39.99]","[0.0, 99.0]",[69.0],"[{""plan_id"": ""Standard"", ""plan"": ""Basic"", ""access"": ""Club of Enrollment"", ""monthly_dues"": 29.99, ""initiation_fee"": 0.0, ""annual_fee"": 69.0, ""effective_monthly_cost"": 35.74}, {""plan_id"": ""Classic"", ""plan"": ""Classic"", ""access"": ""Nationwide Access"", ""monthly_dues"": 29.99, ""initiation_fee"": 99.0, ""annual_fee"": 69.0, ""effective_monthly_cost"": 43.99}, {""plan_id"": ""Premier"", ""plan"": ""Classic"", ""access"": ""Nationwide Access"", ""monthly_dues"": 39.99, ""initiation_fee"": 0.0, ""annual_fee"": 69.0, ""effective_monthly_cost"": 45.74}]",Observed,https://www.lafitness.com/Pages/MembershipSignUpRate.aspx?id=fHkbbxeBxgjbSnOp%2b5BcFA%3d%3d,2026-09-01T01:55:20.031707+00:00,
490,FT. Myers South-Gulf Center Dr,"10058 Gulf Center Drive, Ft. Myers, FL 33913",10058,Lee County,Google location address match,29.99,79.0,199.0,69.0,101.33333333333333,"[79.0, 29.99, 0.0]","[199.0, 99.0, 0.0]","[69.0, 0.0]","[{""plan_id"": ""Standard"", ""plan"": ""Basic"", ""access"": ""Multi Club; State of Enrollment"", ""monthly_dues"": 79.0, ""initiation_fee"": 199.0, ""annual_fee"": 69.0, ""effective_monthly_cost"": 101.33333333333333}, {""plan_id"": ""Classic"", ""plan"": ""Classic"", ""access"": ""Nationwide Access"", ""monthly_dues"": 29.99, ""initiation_fee"": 99.0, ""annual_fee"": 69.0, ""effective_monthly_cost"": 43.99}, {""plan_id"": ""Premier"", ""plan"": ""Classic"", ""access"": ""State of Enrollment"", ""monthly_dues"": 0.0, ""initiation_fee"": 0.0, ""annual_fee"": 0.0, ""effective_monthly_cost"": 0.0}]",Observed,https://www.lafitness.com/Pages/MembershipSignUpRate.aspx?id=J5CdUUCiwPiKcn5Pj8kaWA%3d%3d,2026-09-01T01:55:20.031707+00:00,
714,Hialeah-Palmetto Expy,"1901 West 39th Street, Hialeah, FL 33012",33012,Miami-Dade County,city/address override,29.99,29.99,0.0,69.0,35.74,"[29.99, 39.99]","[0.0, 99.0]",[69.0],"[{""plan_id"": ""Standard"", ""plan"": ""Basic"", ""access"": ""Club of Enrollment"", ""monthly_dues"": 29.99, ""initiation_fee"": 0.0, ""annual_fee"": 69.0, ""effective_monthly_cost"": 35.74}, {""plan_id"": ""Classic"", ""plan"": ""Classic"", ""access"": ""Nationwide Access"", ""monthly_dues"": 29.99, ""initiation_fee"": 99.0, ""annual_fee"": 69.0, ""effective_monthly_cost"": 43.99}, {""plan_id"": ""Premier"", ""plan"": ""Classic"", ""access"": ""Nationwide Access"", ""monthly_dues"": 39.99, ""initiation_fee"": 0.0, ""annual_fee"": 69.0, ""effective_monthly_cost"": 45.74}]",Observed,https://www.lafitness.com/Pages/MembershipSignUpRate.aspx?id=va1nvv9tEwLhwIxjFfuUuA%3d%3d,2026-09-01T01:55:20.031707+00:00,
631,Hialeah/W 49th St,"630 W 49th Street, Hialeah, FL 33012",33012,Miami-Dade County,Google location address match,29.99,29.99,0.0,69.0,35.74,"[29.99, 99.0]","[0.0, 199.0, 99.0]",[69.0],"[{""plan_id"": ""Standard"", ""plan"": ""Basic"", ""access"": ""Club of Enrollment"", ""monthly_dues"": 29.99, ""initiation_fee"": 0.0, ""annual_fee"": 69.0, ""effective_monthly_cost"": 35.74}, {""plan_id"": ""Classic"", ""plan"": ""Classic"", ""access"": ""Multi Club; State of Enrollment"", ""monthly_dues"": 99.0, ""initiation_fee"": 199.0, ""annual_fee"": 69.0, ""effective_monthly_cost"": 121.33333333333333}, {""plan_id"": ""Premier"", ""plan"": ""Classic"", ""access"": ""State of Enrollment; Nationwide Access"", ""monthly_dues"": 29.99, ""initiation_fee"": 99.0, ""annual_fee"": 69.0, ""effective_monthly_cost"": 43.99}]",Observed,https://www.lafitness.com/Pages/MembershipSignUpRate.aspx?id=Mj47YZV44I5OrWjXTafbyg%3d%3d,2026-09-01T01:55:20.031707+00:00,
1328,Miami Gardens - NW 57th Ave,"5730 NW 183rd St, Hialeah, FL 33015",33015,Miami-Dade County,Google location address match,29.99,29.99,0.0,69.0,35.74,"[29.99, 39.99]","[0.0, 99.0]",[69.0],"[{""plan_id"": ""Standard"", ""plan"": ""Basic"", ""access"": ""Club of Enrollment"", ""monthly_dues"": 29.99, ""initiation_fee"": 0.0, ""annual_fee"": 69.0, ""effective_monthly_cost"": 35.74}, {""plan_id"": ""Classic"", ""plan"": ""Classic"", ""access"": ""Nationwide Access"", ""monthly_dues"": 29.99, ""initiation_fee"": 99.0, ""annual_fee"": 69.0, ""effective_monthly_cost"": 43.99}, {""plan_id"": ""Premier"", ""plan"": ""Classic"", ""access"": ""Nationwide Access"", ""monthly_dues"": 39.99, ""initiation_fee"": 0.0, ""annual_fee"": 69.0, ""effective_monthly_cost"": 45.74}]",Observed,https://www.lafitness.com/Pages/MembershipSignUpRate.aspx?id=cDWRdZh1jnOyBl50huSlFA%3d%3d,2026-09-01T01:55:20.031707+00:00,
