CountyName,MembershipPrice,PriceObservationCount,PriceObservationChains,PriceEstimateSourceCounties,PriceEstimateSourceDistancesMiles,PriceStatus,EstimationMethod
Monroe County,48.28,0,,Miami-Dade County; Collier County; Broward County,32.4; 43.7; 54.0,Estimated - three nearest observed counties,Inverse-distance weighted mean of three nearest counties with observed local offers
Nassau County,69.0,1,Orangetheory Fitness,,,Observed local offer average,Mean of one lowest recurring advertised offer per observed local club
Okaloosa County,69.0,1,Orangetheory Fitness,,,Observed local offer average,Mean of one lowest recurring advertised offer per observed local club
Okeechobee County,59.55,0,,St. Lucie County; Indian River County; Martin County,27.2; 29.0; 36.6,Estimated - three nearest observed counties,Inverse-distance weighted mean of three nearest counties with observed local offers
Orange County,44.13,19,LA Fitness; Orangetheory Fitness; YouFit,,,Observed local offer average,Mean of one lowest recurring advertised offer per observed local club
Osceola County,43.49,3,LA Fitness; Orangetheory Fitness,,,Observed local offer average,Mean of one lowest recurring advertised offer per observed local club
Palm Beach County,44.48,28,LA Fitness; Orangetheory Fitness; YouFit,,,Observed local offer average,Mean of one lowest recurring advertised offer per observed local club
Pasco County,79.0,2,Orangetheory Fitness,,,Observed local offer average,Mean of one lowest recurring advertised offer per observed local club
Pinellas County,56.86,14,LA Fitness; Orangetheory Fitness; YouFit,,,Observed local offer average,Mean of one lowest recurring advertised offer per observed local club
Polk County,43.99,1,LA Fitness,,,Observed local offer average,Mean of one lowest recurring advertised offer per observed local club
Putnam County,63.16,0,,Clay County; St. Johns County; Marion County,28.3; 28.6; 32.9,Estimated - three nearest observed counties,Inverse-distance weighted mean of three nearest counties with observed local offers
Santa Rosa County,69.0,0,,Escambia County; Okaloosa County; Bay County,20.5; 25.8; 95.4,Estimated - three nearest observed counties,Inverse-distance weighted mean of three nearest counties with observed local offers
Sarasota County,46.03,5,LA Fitness; Orangetheory Fitness; YouFit,,,Observed local offer average,Mean of one lowest recurring advertised offer per observed local club
Seminole County,45.2,10,LA Fitness; Orangetheory Fitness; YouFit,,,Observed local offer average,Mean of one lowest recurring advertised offer per observed local club
St. Johns County,69.0,3,Orangetheory Fitness,,,Observed local offer average,Mean of one lowest recurring advertised offer per observed local club
St. Lucie County,47.37,2,LA Fitness; Orangetheory Fitness,,,Observed local offer average,Mean of one lowest recurring advertised offer per observed local club
Sumter County,69.0,1,Orangetheory Fitness,,,Observed local offer average,Mean of one lowest recurring advertised offer per observed local club
Suwannee County,63.8,0,,Alachua County; Clay County; Nassau County,52.0; 68.9; 78.6,Estimated - three nearest observed counties,Inverse-distance weighted mean of three nearest counties with observed local offers
Taylor County,52.3,0,,Leon County; Alachua County; Clay County,51.1; 79.5; 106.2,Estimated - three nearest observed counties,Inverse-distance weighted mean of three nearest counties with observed local offers
Union County,60.53,0,,Alachua County; Clay County; Duval County,26.2; 30.4; 47.1,Estimated - three nearest observed counties,Inverse-distance weighted mean of three nearest counties with observed local offers
Volusia County,54.17,6,Gold's Gym; LA Fitness; Orangetheory Fitness,,,Observed local offer average,Mean of one lowest recurring advertised offer per observed local club
Wakulla County,51.59,0,,Leon County; Bay County; Alachua County,25.9; 70.4; 123.3,Estimated - three nearest observed counties,Inverse-distance weighted mean of three nearest counties with observed local offers
Walton County,69.0,0,,Okaloosa County; Bay County; Escambia County,25.6; 47.1; 68.9,Estimated - three nearest observed counties,Inverse-distance weighted mean of three nearest counties with observed local offers
Washington County,63.63,0,,Bay County; Okaloosa County; Leon County,31.4; 55.6; 82.6,Estimated - three nearest observed counties,Inverse-distance weighted mean of three nearest counties with observed local offers
