Variable,Coefficient,StdError,tStatistic,pValue,CI95Lower,CI95Upper
const,29.984351350693377,5.76117553510573,5.2045543774848895,2.261653166385315e-06,18.47156070631297,41.49714199507378
CountyPopulation,2.526989671966669e-05,7.374936289908737e-06,3.426456273831675,0.0010817687052955163,1.0532262533034563e-05,4.0007530906298814e-05
LAFitnessLocations,-4.232158055966835,1.1318803629357386,-3.739050693476084,0.00040086394883989874,-6.494040474504412,-1.9702756374292578
MedianHouseholdIncome,0.0003047577392104113,0.00010453810571175233,2.9152789514929003,0.004915992667854173,9.585500432829759e-05,0.000513660474092525
