Variable,Coefficient,StdError,tStatistic,pValue,CI95Lower,CI95Upper
const,-22.157139894228994,33.19203260527024,-0.6675439301271016,0.506984272717861,-88.55109042277736,44.23681063431938
CountyPopulation,2.9208094649930555e-05,1.023631851827273e-05,2.8533788390612833,0.005927969760044406,8.732409012385376e-06,4.968378028747574e-05
LAFitnessLocations,-4.378677334502354,1.1830658308088233,-3.7011273764104877,0.0004683802440854946,-6.745161339168735,-2.012193329835974
CompetitorLocations,-0.3499336095427371,0.5364571622771467,-0.6523048514392897,0.5166958647078189,-1.423007702849664,0.7231404837641898
MedianHouseholdIncome,0.00025881722382044476,0.00010465918194125684,2.4729528649069112,0.01625033565263562,4.946769012955456e-05,0.00046816675751133497
PopulationDensity,0.004875673123270502,0.003006764306919737,1.6215681129544066,0.11013968717026201,-0.001138750971171264,0.010890097217712268
AvgGymRating,12.124556828805545,7.466269515681864,1.6239109508891414,0.1096374277111053,-2.8102058219843506,27.05931947959544
