Model,Predictors,N,R2,AdjustedR2,AIC,BIC,RMSE
Full,"CountyPopulation, LAFitnessLocations, CompetitorLocations, MedianHouseholdIncome, PopulationDensity, AvgGymRating",67,0.1578584521895654,0.07364429740852185,519.7406406425654,535.1734889783021,10.54071473187645
Refined,LAFitnessLocations,67,0.1052133640306454,0.09144741578496307,513.8033320467472,518.2127172855292,10.865188303465377
