Variable,DollarEffectPerOneSD,pValue
MedianHouseholdIncome,3.596520010147792,0.004915992667854173
CountyPopulation,12.658308501084592,0.0010817687052955163
LAFitnessLocations,-13.572291798531307,0.00040086394883989874
