Metric,Value,Notes
Retained local recurring club offers,232.0,One lowest recurring advertised offer per observed local club
Counties with observed local price offers,32.0,County average is based on official local offer observations
Counties using nearby-county estimates,35.0,Inverse-distance weighted mean of the three nearest counties with observed local offers
Mean distance to nearby observed counties (miles),53.0,Centroid-to-centroid distance for the three source counties used by each estimate
Maximum distance to a nearby observed county (miles),124.3,Largest centroid-to-centroid distance among estimate source counties
