,Count,Mean,Median,StdDev,Min,Max
MembershipPrice,67.0,57.12164179104479,59.55,11.572919879460363,14.08,79.0
CountyPopulation,67.0,321465.4776119403,129752.0,500924.4256717942,7974.0,2701767.0
LAFitnessLocations,67.0,1.328358208955224,0.0,3.206943507082871,0.0,16.0
CompetitorLocations,67.0,5.059701492537314,2.0,8.882875246045952,0.0,45.0
MedianHouseholdIncome,67.0,56360.53731343283,56786.0,11801.242585228252,38088.0,88794.0
PopulationDensity,67.0,384.49359701492534,188.163,574.0999349459739,9.543,3504.163
AvgGymRating,67.0,4.4170895522388065,4.4,0.15624647693902435,3.95,5.0
