CountyName,GymChain,ReturnedCandidates,AcceptedExactCountyBrandMatches
Jackson County,Orangetheory Fitness,59,0
Jefferson County,LA Fitness,45,0
Jefferson County,Planet Fitness,18,0
Jefferson County,YouFit,31,0
Jefferson County,Gold's Gym,5,0
Jefferson County,Orangetheory Fitness,51,0
Lafayette County,LA Fitness,53,0
Lafayette County,Planet Fitness,23,0
Lafayette County,YouFit,37,0
Lafayette County,Gold's Gym,3,0
Lafayette County,Orangetheory Fitness,60,0
Lake County,LA Fitness,17,0
Lake County,Planet Fitness,12,3
Lake County,YouFit,31,0
Lake County,Gold's Gym,10,0
Lake County,Orangetheory Fitness,19,2
Lee County,LA Fitness,2,2
Lee County,Planet Fitness,7,6
Lee County,YouFit,59,0
Lee County,Gold's Gym,1,1
Lee County,Orangetheory Fitness,4,3
Leon County,LA Fitness,31,0
Leon County,Planet Fitness,20,5
Leon County,YouFit,2,2
Leon County,Gold's Gym,5,0
Leon County,Orangetheory Fitness,2,2
Levy County,LA Fitness,44,0
Levy County,Planet Fitness,10,0
Levy County,YouFit,39,0
Levy County,Gold's Gym,1,0
Levy County,Orangetheory Fitness,3,0
Liberty County,LA Fitness,27,0
Liberty County,Planet Fitness,38,0
Liberty County,YouFit,39,0
Liberty County,Gold's Gym,3,0
Liberty County,Orangetheory Fitness,52,0
Madison County,LA Fitness,16,0
Madison County,Planet Fitness,26,0
Madison County,YouFit,41,0
Madison County,Gold's Gym,1,0
Madison County,Orangetheory Fitness,50,1
Manatee County,LA Fitness,3,2
Manatee County,Planet Fitness,2,2
Manatee County,YouFit,4,0
Manatee County,Gold's Gym,1,1
Manatee County,Orangetheory Fitness,1,1
Marion County,LA Fitness,29,0
Marion County,Planet Fitness,3,3
Marion County,YouFit,31,0
Marion County,Gold's Gym,1,1
Marion County,Orangetheory Fitness,1,1
Martin County,LA Fitness,1,1
Martin County,Planet Fitness,2,1
Martin County,YouFit,38,0
Martin County,Gold's Gym,19,0
Martin County,Orangetheory Fitness,2,2
Miami-Dade County,LA Fitness,24,16
Miami-Dade County,Planet Fitness,22,16
Miami-Dade County,YouFit,24,14
Miami-Dade County,Gold's Gym,2,0
Miami-Dade County,Orangetheory Fitness,14,13
Monroe County,LA Fitness,30,0
Monroe County,Planet Fitness,47,0
Monroe County,YouFit,40,0
Monroe County,Gold's Gym,4,0
Monroe County,Orangetheory Fitness,40,0
Nassau County,LA Fitness,51,0
Nassau County,Planet Fitness,52,0
Nassau County,YouFit,37,0
Nassau County,Gold's Gym,6,0
Nassau County,Orangetheory Fitness,17,1
Okaloosa County,LA Fitness,60,0
Okaloosa County,Planet Fitness,4,2
Okaloosa County,YouFit,29,0
Okaloosa County,Gold's Gym,2,1
Okaloosa County,Orangetheory Fitness,1,1
Okeechobee County,LA Fitness,8,0
Okeechobee County,Planet Fitness,11,0
Okeechobee County,YouFit,4,0
Okeechobee County,Gold's Gym,4,0
Okeechobee County,Orangetheory Fitness,13,0
Orange County,LA Fitness,19,11
Orange County,Planet Fitness,30,13
Orange County,YouFit,3,2
Orange County,Gold's Gym,4,0
Orange County,Orangetheory Fitness,22,8
Osceola County,LA Fitness,2,2
Osceola County,Planet Fitness,4,2
Osceola County,YouFit,10,0
Osceola County,Gold's Gym,36,0
Osceola County,Orangetheory Fitness,1,1
Palm Beach County,LA Fitness,14,10
Palm Beach County,Planet Fitness,21,13
Palm Beach County,YouFit,1,1
Palm Beach County,Gold's Gym,42,0
Palm Beach County,Orangetheory Fitness,15,12
Pasco County,LA Fitness,13,0
Pasco County,Planet Fitness,9,5
Pasco County,YouFit,1,0
Pasco County,Gold's Gym,1,0
Pasco County,Orangetheory Fitness,9,2
Pinellas County,LA Fitness,9,7
Pinellas County,Planet Fitness,7,6
Pinellas County,YouFit,2,1
Pinellas County,Gold's Gym,4,0
Pinellas County,Orangetheory Fitness,9,6
Polk County,LA Fitness,1,1
Polk County,Planet Fitness,6,5
Polk County,YouFit,36,0
Polk County,Gold's Gym,1,1
Polk County,Orangetheory Fitness,1,1
Putnam County,LA Fitness,38,0
Putnam County,Planet Fitness,4,1
Putnam County,YouFit,26,0
Putnam County,Gold's Gym,2,0
Putnam County,Orangetheory Fitness,56,0
Santa Rosa County,LA Fitness,48,0
Santa Rosa County,Planet Fitness,7,1
Santa Rosa County,YouFit,28,0
Santa Rosa County,Gold's Gym,4,0
Santa Rosa County,Orangetheory Fitness,2,0
Sarasota County,LA Fitness,3,1
Sarasota County,Planet Fitness,4,4
Sarasota County,YouFit,3,2
Sarasota County,Gold's Gym,7,0
Sarasota County,Orangetheory Fitness,3,2
Seminole County,LA Fitness,17,4
Seminole County,Planet Fitness,20,6
Seminole County,YouFit,3,1
Seminole County,Gold's Gym,23,0
Seminole County,Orangetheory Fitness,18,5
St. Johns County,LA Fitness,4,0
St. Johns County,Planet Fitness,3,1
St. Johns County,YouFit,31,0
St. Johns County,Gold's Gym,60,0
St. Johns County,Orangetheory Fitness,3,3
St. Lucie County,LA Fitness,1,1
St. Lucie County,Planet Fitness,4,4
St. Lucie County,YouFit,47,0
St. Lucie County,Gold's Gym,1,0
St. Lucie County,Orangetheory Fitness,1,1
Sumter County,LA Fitness,1,0
Sumter County,Planet Fitness,1,0
Sumter County,YouFit,24,0
Sumter County,Gold's Gym,2,0
Sumter County,Orangetheory Fitness,1,1
Suwannee County,LA Fitness,3,0
Suwannee County,Planet Fitness,1,0
Suwannee County,YouFit,6,0
Suwannee County,Gold's Gym,3,0
Suwannee County,Orangetheory Fitness,5,0
Taylor County,LA Fitness,55,0
Taylor County,Planet Fitness,43,0
Taylor County,YouFit,41,0
Taylor County,Gold's Gym,5,0
Taylor County,Orangetheory Fitness,21,0
Union County,LA Fitness,31,0
Union County,Planet Fitness,28,0
Union County,YouFit,37,0
Union County,Gold's Gym,2,0
Union County,Orangetheory Fitness,54,0
Volusia County,LA Fitness,6,2
Volusia County,Planet Fitness,12,6
Volusia County,YouFit,8,0
Volusia County,Gold's Gym,1,1
Volusia County,Orangetheory Fitness,16,3
Wakulla County,LA Fitness,4,1
Wakulla County,Planet Fitness,7,0
Wakulla County,YouFit,6,0
Wakulla County,Gold's Gym,7,0
Wakulla County,Orangetheory Fitness,5,0
Walton County,LA Fitness,47,0
Walton County,Planet Fitness,1,0
Walton County,YouFit,27,0
Walton County,Gold's Gym,5,1
Walton County,Orangetheory Fitness,2,0
Washington County,LA Fitness,10,0
Washington County,Planet Fitness,16,0
Washington County,YouFit,25,0
Washington County,Gold's Gym,5,0
Washington County,Orangetheory Fitness,51,0
